code_r;desig_r;dif;jour;month;mois;annee;num_man;code_p;design_p;poste;type_nav;nom_nav;sejour;num_gros;pavilion
505;CAP CARBON;00:50:00;27;7;Juillet;2013;2038;2;SORTIE;POSTE 21;CEREALIER;ULTRA GUJARAT;7;20130922;PANAMA
506;CAP SIGLI;00:50:00;27;7;Juillet;2013;2038;2;SORTIE;POSTE 21;CEREALIER;ULTRA GUJARAT;7;20130922;PANAMA
507;CAP BOUAK 2;00:50:00;27;7;Juillet;2013;2038;2;SORTIE;POSTE 21;CEREALIER;ULTRA GUJARAT;7;20130922;PANAMA
505;CAP CARBON;00:29:59;27;7;Juillet;2013;2039;2;SORTIE;POSTE 13;CARGO;GREEN FAST;6;20130919;GIBRALTAR
506;CAP SIGLI;00:29:59;27;7;Juillet;2013;2039;2;SORTIE;POSTE 13;CARGO;GREEN FAST;6;20130919;GIBRALTAR
505;CAP CARBON;01:40:07;27;7;Juillet;2013;2040;1;ENTREE;POSTE 21;CEREALIER;ANOGYRA;10;20130956;MALTE
506;CAP SIGLI;01:40:07;27;7;Juillet;2013;2040;1;ENTREE;POSTE 21;CEREALIER;ANOGYRA;10;20130956;MALTE
507;CAP BOUAK 2;01:40:07;27;7;Juillet;2013;2040;1;ENTREE;POSTE 21;CEREALIER;ANOGYRA;10;20130956;MALTE
505;CAP CARBON;00:45:00;27;7;Juillet;2013;2041;1;ENTREE;POSTE 12;CARGO;LANDY;4;20130946;NORVEGE
506;CAP SIGLI;00:45:00;27;7;Juillet;2013;2041;1;ENTREE;POSTE 12;CARGO;LANDY;4;20130946;NORVEGE
505;CAP CARBON;00:55:00;26;7;Juillet;2013;2042;2;SORTIE;POSTE 22;PORTE CONTENEURS;SIRIUS;3;20130958;ILES MARSHALL
506;CAP SIGLI;00:55:00;26;7;Juillet;2013;2042;2;SORTIE;POSTE 22;PORTE CONTENEURS;SIRIUS;3;20130958;ILES MARSHALL
507;CAP BOUAK 2;00:55:00;26;7;Juillet;2013;2042;2;SORTIE;POSTE 22;PORTE CONTENEURS;SIRIUS;3;20130958;ILES MARSHALL
