code_r;desig_r;dif;jour;month;mois;annee;num_man;code_p;design_p;poste;type_nav;nom_nav;sejour;num_gros;pavilion
505;CAP CARBON;01:00:00;19;7;Juillet;2013;1959;2;SORTIE;POSTE 17;CEREALIER;SKYROS;11;20130752;ILES MARSHALL
506;CAP SIGLI;01:00:00;19;7;Juillet;2013;1959;2;SORTIE;POSTE 17;CEREALIER;SKYROS;11;20130752;ILES MARSHALL
507;CAP BOUAK 2;01:00:00;19;7;Juillet;2013;1959;2;SORTIE;POSTE 17;CEREALIER;SKYROS;11;20130752;ILES MARSHALL
505;CAP CARBON;00:45:00;19;7;Juillet;2013;1960;2;SORTIE;POSTE 24;PORTE CONTENEURS;BARBARA P;6;20130822;ROYAUME-UNI
506;CAP SIGLI;00:45:00;19;7;Juillet;2013;1960;2;SORTIE;POSTE 24;PORTE CONTENEURS;BARBARA P;6;20130822;ROYAUME-UNI
507;CAP BOUAK 2;00:45:00;19;7;Juillet;2013;1960;2;SORTIE;POSTE 24;PORTE CONTENEURS;BARBARA P;6;20130822;ROYAUME-UNI
505;CAP CARBON;00:40:00;19;7;Juillet;2013;1961;1;ENTREE;POSTE 19;NAVIRE CARBURANT;NORTH SEA ALPHA;1;20130943;MALTE
506;CAP SIGLI;00:40:00;19;7;Juillet;2013;1961;1;ENTREE;POSTE 19;NAVIRE CARBURANT;NORTH SEA ALPHA;1;20130943;MALTE
507;CAP BOUAK 2;00:24:41;19;7;Juillet;2013;1962;2;SORTIE;POSTE 11;CARGO;GULF HARVEST;1;20130909;TOGO
507;CAP BOUAK 2;00:35:00;19;7;Juillet;2013;1963;1;ENTREE;POSTE 22;CARGO;AKVILE;1;20130949;LITUANIE
505;CAP CARBON;00:40:00;19;7;Juillet;2013;1964;11;MOUVEMENT;POSTE 14;CARGO;ARISTOKLIS K;6;20130914;CHYPRE
506;CAP SIGLI;00:40:00;19;7;Juillet;2013;1964;11;MOUVEMENT;POSTE 14;CARGO;ARISTOKLIS K;6;20130914;CHYPRE
505;CAP CARBON;01:20:01;19;7;Juillet;2013;1965;1;ENTREE;POSTE 03;PETROLIER;NAVE EQUINOX;1;20130950;ILES MARSHALL
